test_id,check,vin_set_V,vin_meas_V,load_target_A,load_meas_A,input_limit_A,iin_A,vout_mean_V,vout_min_V,vout_max_V,bw_MHz,sample_rate_Msas,stimulus_timing,ambient_C,temp_locations_C,waveform_files,status,notes
RIP-13V5-P1A,Output ripple 1A plateau,13.5,,1.00 plateau,,,,,,,20,>=100,10ms plateau,,,,NOT RUN,
RIP-16V5-P1A,Output ripple 1A plateau,16.5,,1.00 plateau,,,,,,,20,>=100,10ms plateau,,,,NOT RUN,
THM-13V5-050,Thermal screen,13.5,,0.50,,,,,,,,,timed obs;drift<1C/10min+10s,,,,NOT RUN,
THM-15V0-050,Thermal screen,15.0,,0.50,,,,,,,,,timed obs;drift<1C/10min+10s,,,,NOT RUN,
THM-16V5-050,Thermal screen,16.5,,0.50,,,,,,,,,timed obs;drift<1C/10min+10s,,,,NOT RUN,
EFF-13V5-010,Efficiency obs,13.5,,0.10,,,,,,,,,steady;25C required,,,,NOT RUN,
EFF-13V5-050,Efficiency obs,13.5,,0.50,,,,,,,,,steady;25C required,,,,NOT RUN,
EFF-15V0-010,Efficiency obs,15.0,,0.10,,,,,,,,,steady;25C required,,,,NOT RUN,
EFF-15V0-050,Efficiency obs,15.0,,0.50,,,,,,,,,steady;25C required,,,,NOT RUN,
EFF-16V5-010,Efficiency obs,16.5,,0.10,,,,,,,,,steady;25C required,,,,NOT RUN,
EFF-16V5-050,Efficiency obs,16.5,,0.50,,,,,,,,,steady;25C required,,,,NOT RUN,
